id;name;link
764;(Self-published);https://ludopedia.com.br/editora/764/(Self-published)
316;Ferti;https://ludopedia.com.br/editora/316/Ferti
6224;PepsiCo;https://ludopedia.com.br/editora/6224/PepsiCo
3401;Winning Moves UK Ltd.;https://ludopedia.com.br/editora/3401/Winning Moves UK Ltd.
3837;Dark Mushroom Games;https://ludopedia.com.br/editora/3837/Dark Mushroom Games
92;Galápagos;https://ludopedia.com.br/editora/92/Galápagos
854;Diset S. A.;https://ludopedia.com.br/editora/854/Diset S. A.
4763;The OP;https://ludopedia.com.br/editora/4763/The OP
701;Adlung-Spiele;https://ludopedia.com.br/editora/701/Adlung-Spiele
191;Stronghold Games;https://ludopedia.com.br/editora/191/Stronghold Games
